Country Code,Short Name,Table Name,Long Name,Region,Income Group,Other groups,GovernmentEffectiveness,Political StabilityNoViolence,VoiceandAccountability,Pop_female,Pop_male,Pop_total,Adolescent fertility %,Women justified in beating %,Energy pc,GDP pc,Human capital index,Statistical performance indicator,Freedom_Index,Economy_Index
BTN,Bhutan,Bhutan,Kingdom of Bhutan,South Asia,Lower middle income,,0.430159592628479,1.08162224292755,0.0218710271641612,341870.5,381861.2,723731.7,2.48941,68.4,,9994.14199062448,0.475297033786774,50.9398958333334,0.689091697955769,0.160084925291104
NAM,Namibia,Namibia,Republic of Namibia,Sub-Saharan Africa,Upper middle income,,0.163763599097729,0.660838520526886,0.548755276203156,1186641.8,1112921.4,2299563.2,7.083056,28.2,756.882332377747,9796.29207339321,0.430056347846985,51.6346875,0.679330118659709,0.14248373766654
JAM,Jamaica,Jamaica,Jamaica,Latin America & Caribbean,Upper middle income,,0.427682045102119,0.313659888505936,0.647072553634644,1449362.8,1431998.4,2881361.2,5.712042,4.9,983.756017583148,9539.35340681331,0.539416621208191,52.6036458333334,0.682260407234751,0.214001940846888
SWZ,Eswatini,Eswatini,Kingdom of Eswatini,Sub-Saharan Africa,Lower middle income,,-0.60398815870285,-0.395009577274323,-1.38937313556671,572301.5,530210.4,1102511.9,7.858448,19.9,,8151.46639492782,0.365452697038651,47.2827083333334,0.365202433350467,0.0818537903601189
SLV,El Salvador,El Salvador,Republic of El Salvador,Latin America & Caribbean,Lower middle income,,-0.359626314043999,-0.176513658091426,0.135313314944506,3342398.6,2971326.4,6313725,7.177224,8,667.600675239819,8084.01776893628,0.530720774650574,67.5180208333333,0.534269503252552,0.19514095276262
GTM,Guatemala,Guatemala,Republic of Guatemala,Latin America & Caribbean,Upper middle income,,-0.663352298736572,-0.584736728668213,-0.313899153470993,7842583.3,7592111.1,15434694.4,7.503184,11,775.757002717931,7983.71910118941,0.454995533227921,61.2088541666667,0.438154743055249,0.149225472481518
BOL,Bolivia,Bolivia,Plurinational State of Bolivia,Latin America & Caribbean,Lower middle income,HIPC,-0.524708145856857,-0.337818011641502,-0.0393848064355552,5364053,5420822.2,10784875.2,6.913798,,712.667465027671,7770.49718719126,,60.7313541666667,0.492803949259836,0.0463508811896957
AGO,Angola,Angola,People's Republic of Angola,Sub-Saharan Africa,Lower middle income,,-1.04610984325409,-0.355229985713959,-1.02187889814377,13890298.9,13591807.8,27482106.7,15.902234,25.2,534.695401057286,7630.5075400896,0.361198782444,50.1507291666667,0.363481995000778,0.0840796137259122
PHL,Philippines,Philippines,Republic of the Philippines,East Asia & Pacific,Lower middle income,,0.0310116240754724,-1.07750395536423,0.0927600126713514,50247354.5,50937955,101185309.5,5.573624,11.9,445.546727829905,7250.34237251605,0.537659235159556,74.8346875,0.491828372527126,0.191030357826751
BLZ,Belize,Belize,Belize,Latin America & Caribbean,Upper middle income,,-0.653440511226654,0.0441476358100772,0.540296697616577,178753.6,178077.2,356830.8,7.081022,8.6,,7149.02986678522,,54.1688541666667,0.562327670700975,0.0322613420747012
MAR,Morocco,Morocco,Kingdom of Morocco,Middle East & North Africa,Lower middle income,,-0.138064336776733,-0.346758437156677,-0.640489017963409,17383376.4,17031351.3,34414727.7,3.21658,,552.415885853566,6968.91834354908,0.492772981524468,58.3920833333333,0.472202483894284,0.16349194659692
CPV,Cabo Verde,Cabo Verde,Republic of Cabo Verde,Sub-Saharan Africa,Lower middle income,,0.214548248052597,0.852472770214081,0.97151163816452,260043.9,261341.1,521385,7.64807,,,6495.39970625254,,54.2853125,0.735143988002581,0.0289278965741133
VNM,Vietnam,Vietnam,Socialist Republic of Vietnam,East Asia & Pacific,Lower middle income,,0.0264358480926603,0.16745421141386,-1.39133248329163,46253028.2,45949442.7,92202470.9,3.264594,28.2,664.977801200758,6391.89621642247,0.674961579680443,64.3542708333333,0.461573015618091,0.276849762022453
LAO,Lao PDR,Lao PDR,Lao People's Democratic Republic,East Asia & Pacific,Lower middle income,,-0.549852615594864,0.482239729166031,-1.76081893444061,3348185,3351147.9,6699332.9,6.665908,58.2,,6365.00876766398,0.455160252888997,49.0008333333333,0.406834623680716,0.128958061221168
WSM,Samoa,Samoa,Samoa,East Asia & Pacific,Upper middle income,,0.538508814573288,1.17281060218811,0.759517014026642,92867.4,99339.7,192207.1,2.609664,,,6152.65132937106,0.535407960414886,56.6738541666667,0.768924051069427,0.178162087959867
UZB,Uzbekistan,Uzbekistan,Republic of Uzbekistan,Europe & Central Asia,Lower middle income,,-0.573750507831573,-0.288585567474365,-1.77212316989899,15597285,15477620,31074905,2.357484,,1543.02437902061,5863.7112225962,0.622805714607239,47.3697916666667,0.343062677289403,0.258107696518535
IND,India,India,Republic of India,South Asia,Lower middle income,,0.142004176974297,-0.869414567947388,0.385869485139847,624935133.7,676980757.4,1301915891.1,2.127306,44.6,596.23283493978,5378.84646511656,0.472768903573354,67.8742708333333,0.542731145957717,0.143677371007319
